State Name,Dist Code,District Code Index
"Andhra Pradesh",49,1
"Assam",605.5,2
"Bihar",906.18181818181813,3
"Gujarat",129.5,4
"Haryana",181.85714285714286,5
"Himachal Pradesh",631.3,6
"Jharkhand",335.03045598579649,7
"Jharkhand",914.16666666666663,8
"Karnataka",73,9
"Kerala",656.11111111111109,10
"Kerala",656.2,11
"Madhya Pradesh",25,12
"Maharashtra",107.5,13
"Maharashtra",108,14
"Orissa",707,15
"Punjab",170.27272727272728,16
"Rajasthan",151.5,17
"Tamil Nadu",88.5,18
"Uttar Pradesh",212.93478260869566,19
"Uttarakhand",240.5,20
"West Bengal",809.71428571428567,21
"West Bengal",810.5333333333333,22
