Year,YearStart,DecadeNum,Decade
1966,1966-01-01 00:00:00.000,1960-01-01 00:00:00.000,1960
1967,1967-01-01 00:00:00.000,1960-01-01 00:00:00.000,1960
1968,1968-01-01 00:00:00.000,1960-01-01 00:00:00.000,1960
1969,1969-01-01 00:00:00.000,1960-01-01 00:00:00.000,1960
1970,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1971,1971-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1972,1972-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1973,1973-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1974,1974-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1975,1975-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1976,1976-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1977,1977-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1978,1978-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1979,1979-01-01 00:00:00.000,1970-01-01 00:00:00.000,1970
1980,1980-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1981,1981-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1982,1982-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1983,1983-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1984,1984-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1985,1985-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1986,1986-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1987,1987-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1988,1988-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1989,1989-01-01 00:00:00.000,1980-01-01 00:00:00.000,1980
1990,1990-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1991,1991-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1992,1992-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1993,1993-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1994,1994-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1995,1995-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1996,1996-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1997,1997-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1998,1998-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
1999,1999-01-01 00:00:00.000,1990-01-01 00:00:00.000,1990
2000,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2001,2001-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2002,2002-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2003,2003-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2004,2004-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2005,2005-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2006,2006-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2007,2007-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2008,2008-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2009,2009-01-01 00:00:00.000,2000-01-01 00:00:00.000,2000
2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2011,2011-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2012,2012-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2013,2013-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2014,2014-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2015,2015-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2016,2016-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
2017,2017-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010
