Year,Dist Code,Crops,AREA (1000 ha),PRODUCTION (1000 tons),YIELD (Kg per ha)
1970,656.2,"BARLEY",0,0,0
1970,656.2,"CHICKPEA",0,0,0
1970,656.2,"LINSEED",0,0,0
1970,656.2,"MAIZE",0,0,0
1970,656.2,"PEARL MILLET",0,0,0
1970,656.2,"PIGEONPEA",0,0,0
1970,656.2,"RABI SORGHUM",0,0,0
1970,656.2,"RAPESEED AND MUSTARD",0,0,0
1970,656.2,"SAFFLOWER",0,0,0
1970,656.2,"SOYABEAN",0,0,0
1970,656.2,"SUNFLOWER",0,0,0
1970,656.2,"WHEAT",0,0,0
1971,656.2,"BARLEY",0,0,0
1971,656.2,"CHICKPEA",0,0,0
1971,656.2,"LINSEED",0,0,0
1971,656.2,"MAIZE",0,0,0
1971,656.2,"PEARL MILLET",0,0,0
1971,656.2,"PIGEONPEA",0,0,0
1971,656.2,"RABI SORGHUM",0,0,0
1971,656.2,"RAPESEED AND MUSTARD",0,0,0
1971,656.2,"SAFFLOWER",0,0,0
1971,656.2,"SOYABEAN",0,0,0
1971,656.2,"SUNFLOWER",0,0,0
1971,656.2,"WHEAT",0,0,0
1972,656.2,"BARLEY",0,0,0
1972,656.2,"CHICKPEA",0,0,0
1972,656.2,"LINSEED",0,0,0
1972,656.2,"MAIZE",0,0,0
1972,656.2,"PEARL MILLET",0,0,0
1972,656.2,"PIGEONPEA",0,0,0
1972,656.2,"RABI SORGHUM",0,0,0
1972,656.2,"RAPESEED AND MUSTARD",0,0,0
1972,656.2,"SAFFLOWER",0,0,0
1972,656.2,"SOYABEAN",0,0,0
1972,656.2,"SUNFLOWER",0,0,0
1972,656.2,"WHEAT",0,0,0
1973,656.2,"BARLEY",0,0,0
1973,656.2,"CHICKPEA",0,0,0
1973,656.2,"LINSEED",0,0,0
1973,656.2,"MAIZE",0,0,0
1973,656.2,"PEARL MILLET",0,0,0
1973,656.2,"PIGEONPEA",0,0,0
1973,656.2,"RABI SORGHUM",0,0,0
1973,656.2,"RAPESEED AND MUSTARD",0,0,0
1973,656.2,"SAFFLOWER",0,0,0
1973,656.2,"SOYABEAN",0,0,0
1973,656.2,"SUNFLOWER",0,0,0
1973,656.2,"WHEAT",0,0,0
1974,656.2,"BARLEY",0,0,0
1974,656.2,"CHICKPEA",0,0,0
1974,656.2,"LINSEED",0,0,0
1974,656.2,"MAIZE",0,0,0
1974,656.2,"PEARL MILLET",0,0,0
1974,656.2,"PIGEONPEA",0,0,0
1974,656.2,"RABI SORGHUM",0,0,0
1974,656.2,"RAPESEED AND MUSTARD",0,0,0
1974,656.2,"SAFFLOWER",0,0,0
1974,656.2,"SOYABEAN",0,0,0
1974,656.2,"SUNFLOWER",0,0,0
1974,656.2,"WHEAT",0,0,0
1975,656.2,"BARLEY",0,0,0
1975,656.2,"CASTOR",0,0,0
1975,656.2,"CHICKPEA",0,0,0
1975,656.2,"LINSEED",0,0,0
1975,656.2,"MAIZE",0,0,0
1975,656.2,"PEARL MILLET",0,0,0
1975,656.2,"PIGEONPEA",0,0,0
1975,656.2,"RABI SORGHUM",0,0,0
1975,656.2,"RAPESEED AND MUSTARD",0,0,0
1975,656.2,"SAFFLOWER",0,0,0
1975,656.2,"SOYABEAN",0,0,0
1975,656.2,"SUNFLOWER",0,0,0
1975,656.2,"WHEAT",0,0,0
1976,656.2,"BARLEY",0,0,0
1976,656.2,"CASTOR",0,0,0
1976,656.2,"CHICKPEA",0,0,0
1976,656.2,"LINSEED",0,0,0
1976,656.2,"MAIZE",0,0,0
1976,656.2,"PEARL MILLET",0,0,0
1976,656.2,"PIGEONPEA",0,0,0
1976,656.2,"RABI SORGHUM",0,0,0
1976,656.2,"RAPESEED AND MUSTARD",0,0,0
1976,656.2,"SAFFLOWER",0,0,0
1976,656.2,"SOYABEAN",0,0,0
1976,656.2,"SUNFLOWER",0,0,0
1976,656.2,"WHEAT",0,0,0
1977,656.2,"BARLEY",0,0,0
1977,656.2,"CASTOR",0,0,0
1977,656.2,"CHICKPEA",0,0,0
1977,656.2,"LINSEED",0,0,0
1977,656.2,"MAIZE",0,0,0
1977,656.2,"PEARL MILLET",0,0,0
1977,656.2,"PIGEONPEA",0,0,0
1977,656.2,"RABI SORGHUM",0,0,0
1977,656.2,"RAPESEED AND MUSTARD",0,0,0
1977,656.2,"SAFFLOWER",0,0,0
1977,656.2,"SOYABEAN",0,0,0
1977,656.2,"SUNFLOWER",0,0,0
1977,656.2,"WHEAT",0,0,0
1978,656.2,"BARLEY",0,0,0
1978,656.2,"CASTOR",0,0,0
1978,656.2,"CHICKPEA",0,0,0
1978,656.2,"LINSEED",0,0,0
1978,656.2,"MAIZE",0,0,0
1978,656.2,"PEARL MILLET",0,0,0
1978,656.2,"PIGEONPEA",0,0,0
1978,656.2,"RABI SORGHUM",0,0,0
1978,656.2,"RAPESEED AND MUSTARD",0,0,0
1978,656.2,"SAFFLOWER",0,0,0
1978,656.2,"SOYABEAN",0,0,0
1978,656.2,"SUNFLOWER",0,0,0
1978,656.2,"WHEAT",0,0,0
1979,656.2,"BARLEY",0,0,0
1979,656.2,"CASTOR",0,0,0
1979,656.2,"CHICKPEA",0,0,0
1979,656.2,"LINSEED",0,0,0
1979,656.2,"MAIZE",0,0,0
1979,656.2,"PEARL MILLET",0,0,0
1979,656.2,"PIGEONPEA",0,0,0
1979,656.2,"RABI SORGHUM",0,0,0
1979,656.2,"RAPESEED AND MUSTARD",0,0,0
1979,656.2,"SAFFLOWER",0,0,0
1979,656.2,"SOYABEAN",0,0,0
1979,656.2,"SUNFLOWER",0,0,0
1979,656.2,"WHEAT",0,0,0
1980,656.2,"BARLEY",0,0,0
1980,656.2,"CASTOR",0,0,0
1980,656.2,"CHICKPEA",0,0,0
1980,656.2,"LINSEED",0,0,0
1980,656.2,"MAIZE",0,0,0
1980,656.2,"PEARL MILLET",0,0,0
1980,656.2,"PIGEONPEA",0,0,0
1980,656.2,"RABI SORGHUM",0,0,0
1980,656.2,"RAPESEED AND MUSTARD",0,0,0
1980,656.2,"SAFFLOWER",0,0,0
1980,656.2,"SOYABEAN",0,0,0
1980,656.2,"SUNFLOWER",0,0,0
1980,656.2,"WHEAT",0,0,0
1981,656.2,"BARLEY",0,0,0
1981,656.2,"CASTOR",0,0,0
1981,656.2,"CHICKPEA",0,0,0
1981,656.2,"LINSEED",0,0,0
1981,656.2,"MAIZE",0,0,0
1981,656.2,"PEARL MILLET",0,0,0
1981,656.2,"PIGEONPEA",0,0,0
1981,656.2,"RABI SORGHUM",0,0,0
1981,656.2,"RAPESEED AND MUSTARD",0,0,0
1981,656.2,"SAFFLOWER",0,0,0
1981,656.2,"SOYABEAN",0,0,0
1981,656.2,"SUNFLOWER",0,0,0
1981,656.2,"WHEAT",0,0,0
1982,656.2,"BARLEY",0,0,0
1982,656.2,"CASTOR",0,0,0
1982,656.2,"CHICKPEA",0,0,0
1982,656.2,"COTTON",0,0,0
1982,656.2,"FINGER MILLET",0,0,0
1982,656.2,"GROUNDNUT",0,0,0
1982,656.2,"KHARIF SORGHUM",0,0,0
1982,656.2,"LINSEED",0,0,0
1982,656.2,"MAIZE",0,0,0
1982,656.2,"MINOR PULSES",0,0,0
1982,656.2,"PEARL MILLET",0,0,0
1982,656.2,"PIGEONPEA",0,0,0
1982,656.2,"RABI SORGHUM",0,0,0
1982,656.2,"RAPESEED AND MUSTARD",0,0,0
1982,656.2,"SAFFLOWER",0,0,0
1982,656.2,"SORGHUM",0,0,0
1982,656.2,"SOYABEAN",0,0,0
1982,656.2,"SUNFLOWER",0,0,0
1982,656.2,"WHEAT",0,0,0
1983,656.2,"BARLEY",0,0,0
1983,656.2,"CASTOR",0,0,0
1983,656.2,"CHICKPEA",0,0,0
1983,656.2,"COTTON",0,0,0
1983,656.2,"FINGER MILLET",0,0,0
1983,656.2,"GROUNDNUT",0,0,0
1983,656.2,"KHARIF SORGHUM",0,0,0
1983,656.2,"LINSEED",0,0,0
1983,656.2,"MAIZE",0,0,0
1983,656.2,"MINOR PULSES",0,0,0
1983,656.2,"PEARL MILLET",0,0,0
1983,656.2,"PIGEONPEA",0,0,0
1983,656.2,"RABI SORGHUM",0,0,0
1983,656.2,"RAPESEED AND MUSTARD",0,0,0
1983,656.2,"SAFFLOWER",0,0,0
1983,656.2,"SORGHUM",0,0,0
1983,656.2,"SOYABEAN",0,0,0
1983,656.2,"SUNFLOWER",0,0,0
1983,656.2,"WHEAT",0,0,0
1984,656.2,"BARLEY",0,0,0
1984,656.2,"CASTOR",0,0,0
1984,656.2,"CHICKPEA",0,0,0
1984,656.2,"COTTON",0,0,0
1984,656.2,"FINGER MILLET",0,0,0
1984,656.2,"GROUNDNUT",0,0,0
1984,656.2,"KHARIF SORGHUM",0,0,0
1984,656.2,"LINSEED",0,0,0
1984,656.2,"MAIZE",0,0,0
1984,656.2,"MINOR PULSES",0,0,0
1984,656.2,"PEARL MILLET",0,0,0
1984,656.2,"PIGEONPEA",0,0,0
1984,656.2,"RABI SORGHUM",0,0,0
1984,656.2,"RAPESEED AND MUSTARD",0,0,0
