subdivision,Year,Month,RainFall
"Andhra Pradesh",1966,"Jun",72.333333333333329
"Andhra Pradesh",1967,"Jun",99.399999999999991
"Andhra Pradesh",1968,"Jun",61.366666666666674
"Andhra Pradesh",1969,"Jun",78.233333333333334
"Andhra Pradesh",1970,"Jun",125.83333333333333
"Andhra Pradesh",1971,"Jun",77.3
"Andhra Pradesh",1972,"Jun",115.89999999999999
"Andhra Pradesh",1973,"Jun",80.266666666666666
"Andhra Pradesh",1974,"Jun",85.5
"Andhra Pradesh",1975,"Jun",103.63333333333333
"Andhra Pradesh",1976,"Jun",67.7
"Andhra Pradesh",1977,"Jun",92.466666666666654
"Andhra Pradesh",1978,"Jun",138.9
"Andhra Pradesh",1979,"Jun",79.766666666666666
"Andhra Pradesh",1980,"Jun",146.83333333333334
"Andhra Pradesh",1981,"Jun",95.8
"Andhra Pradesh",1982,"Jun",95.2
"Andhra Pradesh",1983,"Jun",102.10000000000001
"Andhra Pradesh",1984,"Jun",61.966666666666669
"Andhra Pradesh",1985,"Jun",99.233333333333334
"Andhra Pradesh",1986,"Jun",82.766666666666666
"Andhra Pradesh",1987,"Jun",76.5
"Andhra Pradesh",1988,"Jun",63.9
"Andhra Pradesh",1989,"Jun",121.33333333333333
"Andhra Pradesh",1990,"Jun",115.13333333333334
"Andhra Pradesh",1991,"Jun",198.56666666666669
"Andhra Pradesh",1992,"Jun",83.066666666666663
"Andhra Pradesh",1993,"Jun",59.833333333333336
"Andhra Pradesh",1994,"Jun",55.766666666666673
"Andhra Pradesh",1995,"Jun",84.666666666666671
"Andhra Pradesh",1996,"Jun",192.83333333333334
"Andhra Pradesh",1997,"Jun",62.199999999999996
"Andhra Pradesh",1998,"Jun",95.266666666666652
"Andhra Pradesh",1999,"Jun",82.966666666666669
"Andhra Pradesh",2000,"Jun",166.33333333333334
"Andhra Pradesh",2001,"Jun",87.600000000000009
"Andhra Pradesh",2002,"Jun",91.899999999999991
"Andhra Pradesh",2003,"Jun",80.666666666666671
"Andhra Pradesh",2004,"Jun",68.233333333333334
"Andhra Pradesh",2005,"Jun",68.566666666666663
"Andhra Pradesh",2006,"Jun",96.866666666666674
"Andhra Pradesh",2007,"Jun",217.5
"Andhra Pradesh",2008,"Jun",79.966666666666669
"Andhra Pradesh",2009,"Jun",63.233333333333327
"Andhra Pradesh",2010,"Jun",110.2
"Andhra Pradesh",2011,"Jun",64.033333333333331
"Andhra Pradesh",2012,"Jun",74.6
"Andhra Pradesh",2013,"Jun",116.83333333333333
"Andhra Pradesh",2014,"Jun",54.933333333333337
"Andhra Pradesh",2015,"Jun",169.06666666666666
"Andhra Pradesh",2016,"Jun",170.43333333333331
"Andhra Pradesh",2017,"Jun",145.63333333333333
"Assam",1966,"Jun",713.5
"Assam",1967,"Jun",359.65
"Assam",1968,"Jun",508.8
"Assam",1969,"Jun",599.55
"Assam",1970,"Jun",631.84999999999991
"Assam",1971,"Jun",527.6
"Assam",1972,"Jun",412.95000000000005
"Assam",1973,"Jun",507.3
"Assam",1974,"Jun",543.55
"Assam",1975,"Jun",343.65
"Assam",1976,"Jun",740.35
"Assam",1977,"Jun",429.35
"Assam",1978,"Jun",503.75
"Assam",1979,"Jun",338.7
"Assam",1980,"Jun",372.95
"Assam",1981,"Jun",249.5
"Assam",1982,"Jun",444.9
"Assam",1983,"Jun",377.1
"Assam",1984,"Jun",493.75
"Assam",1985,"Jun",504.25
"Assam",1986,"Jun",371.6
"Assam",1987,"Jun",479.5
"Assam",1988,"Jun",437.04999999999995
"Assam",1989,"Jun",432.8
"Assam",1990,"Jun",454.4
"Assam",1991,"Jun",489.79999999999995
"Assam",1992,"Jun",401.85
"Assam",1993,"Jun",579.90000000000009
"Assam",1994,"Jun",367.05
"Assam",1995,"Jun",543.9
"Assam",1996,"Jun",358.79999999999995
"Assam",1997,"Jun",452.45000000000005
"Assam",1998,"Jun",439.75
"Assam",1999,"Jun",400.9
"Assam",2000,"Jun",438.8
"Assam",2001,"Jun",436.95
"Assam",2002,"Jun",427.1
"Assam",2003,"Jun",579.1
"Assam",2004,"Jun",432.05
"Assam",2005,"Jun",291.35
"Assam",2006,"Jun",433.25
"Assam",2007,"Jun",475.35
"Assam",2008,"Jun",368.4
"Assam",2009,"Jun",298.45000000000005
"Assam",2010,"Jun",485.55
"Assam",2011,"Jun",357.4
"Assam",2012,"Jun",546
"Assam",2013,"Jun",303.54999999999995
"Assam",2014,"Jun",334.29999999999995
"Assam",2015,"Jun",432.9
"Assam",2016,"Jun",338.70000000000005
"Assam",2017,"Jun",488.45000000000005
"Bihar",1966,"Jun",114.5
"Bihar",1967,"Jun",80.7
"Bihar",1968,"Jun",261.8
"Bihar",1969,"Jun",193.1
"Bihar",1970,"Jun",194.6
"Bihar",1971,"Jun",278
"Bihar",1972,"Jun",56.7
"Bihar",1973,"Jun",200.9
"Bihar",1974,"Jun",130.5
"Bihar",1975,"Jun",135.3
"Bihar",1976,"Jun",147.3
"Bihar",1977,"Jun",103.4
"Bihar",1978,"Jun",193.7
"Bihar",1979,"Jun",91.8
"Bihar",1980,"Jun",158.7
"Bihar",1981,"Jun",109.2
"Bihar",1982,"Jun",222.3
"Bihar",1983,"Jun",101.3
"Bihar",1984,"Jun",355.2
"Bihar",1985,"Jun",163.4
"Bihar",1986,"Jun",168.5
"Bihar",1987,"Jun",143.6
"Bihar",1988,"Jun",174.7
"Bihar",1989,"Jun",152.9
"Bihar",1990,"Jun",162.3
"Bihar",1991,"Jun",176.5
"Bihar",1992,"Jun",84
"Bihar",1993,"Jun",155.1
"Bihar",1994,"Jun",131.9
"Bihar",1995,"Jun",161.3
"Bihar",1996,"Jun",220.1
"Bihar",1997,"Jun",212.1
"Bihar",1998,"Jun",96.5
"Bihar",1999,"Jun",265.9
"Bihar",2000,"Jun",268.8
"Bihar",2001,"Jun",226.3
"Bihar",2002,"Jun",116.2
"Bihar",2003,"Jun",229.2
"Bihar",2004,"Jun",236.1
"Bihar",2005,"Jun",84.6
"Bihar",2006,"Jun",200.4
"Bihar",2007,"Jun",150.5
"Bihar",2008,"Jun",291.8
"Bihar",2009,"Jun",69.9
"Bihar",2010,"Jun",88.1
"Bihar",2011,"Jun",223.4
"Bihar",2012,"Jun",89.8
"Bihar",2013,"Jun",179.2
"Bihar",2014,"Jun",105.7
"Bihar",2015,"Jun",118.2
"Bihar",2016,"Jun",127.9
"Bihar",2017,"Jun",87.9
